Diameter (km),Latitude,Longitude
120.58,-21.36,33.07
120.13,21.50,-72.02
119.60,-35.82,-124.75
119.04,57.58,-50.94
117.85,39.38,87.18
117.59,-10.50,-42.49
117.57,57.49,-82.01
117.25,-32.32,166.04
117.15,53.90,-84.77
116.90,81.17,95.38
116.07,-6.90,78.94
115.73,-29.79,85.95
115.35,-41.77,13.92
115.26,73.04,-3.37
115.18,-52.79,-57.31
114.97,-25.51,-2.03
114.65,-23.12,-70.06
114.64,62.76,-176.51
114.45,-70.63,-5.95
114.34,81.63,176.71
113.92,65.29,144.65
113.87,2.20,-67.46
113.77,29.12,89.45
113.71,30.86,-129.44
113.60,-54.74,32.93
113.39,40.90,146.51
113.37,-43.56,119.98
112.18,46.33,-108.77
111.44,-23.51,111.11
111.39,-17.55,-39.96
110.96,38.30,141.74
110.54,-13.39,-2.85
110.16,-68.64,65.34
110.07,-60.35,-27.81
109.88,36.22,-131.69
109.80,-19.75,-142.27
109.24,29.90,98.53
108.90,40.84,122.63
108.65,51.31,-78.41
108.64,86.17,-93.32
108.23,-23.34,143.14
108.20,74.36,-70.63
108.13,10.24,121.95
107.82,-82.35,48.52
107.51,-56.13,-145.80
107.30,61.75,-132.68
107.08,-58.19,-134.11
105.82,-63.77,-21.63
105.76,-40.64,-133.53
105.39,-70.52,-162.20
105.33,15.50,170.79
104.76,-9.93,119.45
104.21,26.67,-172.14
104.21,-26.57,75.67
103.55,-42.67,100.94
103.44,-38.87,152.56
103.40,-1.42,98.10
103.39,-84.44,83.07
103.37,26.51,-75.55
103.34,-1.69,103.04
102.85,-72.70,-30.75
102.63,29.26,114.34
102.57,-36.16,-68.01
102.22,-33.85,126.12
101.80,-35.61,134.43
101.79,-12.58,-159.84
101.79,59.24,34.76
101.49,60.78,127.58
101.45,-12.48,-126.88
100.83,-43.21,-20.94
100.74,-4.77,157.97
100.68,51.62,-9.38
100.63,-29.88,-13.53
100.58,-85.33,-42.13
100.25,-3.20,76.16
100.08,4.44,146.42
99.50,73.74,147.23
99.49,31.85,-179.67
99.29,-67.08,4.40
99.09,5.28,80.01
98.87,50.09,-150.34
98.78,44.54,-80.51
98.77,-17.98,23.55
98.63,-46.11,162.99
98.59,-11.45,26.28
98.28,11.63,117.12
98.22,-0.87,-138.77
98.09,-13.29,24.07
97.97,-15.33,115.80
97.81,33.87,93.68
97.67,-23.75,16.64
97.67,-65.89,103.65
97.52,27.15,-144.14
97.49,85.43,10.07
97.28,47.12,-138.98
97.10,17.76,-154.65
97.03,-26.68,125.17
96.99,-18.26,-1.93
96.76,-6.06,-16.97
96.25,51.92,126.73
96.07,9.62,-20.08
95.97,-67.51,26.37
95.78,45.21,-113.81
95.28,4.13,94.14
95.28,-44.76,137.35
95.06,31.88,29.99
94.80,40.25,13.69
94.70,-42.13,150.33
94.60,-47.49,-68.95
94.59,-72.90,43.26
94.57,25.88,-108.91
94.29,9.77,131.08
94.22,16.31,-138.47
94.21,76.53,171.35
94.10,-17.57,147.49
93.97,46.76,121.52
93.82,71.28,7.59
93.75,-63.04,-163.61
93.73,-5.49,-173.26
93.70,-61.36,-149.98
93.61,-5.83,179.40
93.52,13.78,-83.94
93.48,-67.46,-147.95
93.47,-62.73,-110.83
93.18,15.15,89.13
93.13,66.98,35.83
93.08,-33.29,103.69
92.90,32.52,172.42
92.55,-53.95,-169.36
92.46,-37.93,-174.97
92.16,31.09,-162.91
92.03,10.15,163.95
91.97,23.11,130.43
91.67,2.72,-147.18
91.65,-55.49,43.15
91.50,-67.04,-10.30
91.50,-35.85,-128.89
91.42,-12.92,79.72
91.40,72.61,166.80
91.40,-58.78,66.07
91.15,-2.15,-179.38
90.69,27.35,98.28
90.44,-54.47,174.19
90.19,-22.95,-123.42
90.08,-6.33,129.17
90.01,-39.09,39.11
89.92,65.12,-10.70
89.85,21.84,-105.37
89.72,54.46,-115.00
89.44,74.61,37.35
89.37,70.66,-174.25
89.21,-53.39,38.69
89.17,28.29,-97.05
88.89,20.95,-90.20
88.78,-44.48,-22.36
88.74,-9.99,128.80
88.69,-0.10,162.51
88.60,43.65,171.76
88.58,16.63,-166.09
88.54,-34.33,13.37
88.43,-58.64,-73.95
88.29,6.83,122.30
88.19,13.06,165.84
88.12,46.74,44.38
87.84,-51.01,159.23
87.62,25.13,-105.24
87.58,-29.70,32.20
87.57,50.24,17.32
87.55,-5.93,-83.39
87.53,-59.62,141.54
87.49,31.22,73.55
87.41,42.11,-127.95
87.27,-10.87,113.10
87.26,9.76,113.07
87.16,-29.31,-56.53
86.77,-34.04,-16.06
86.43,24.20,161.33
86.40,-27.26,109.14
86.33,21.98,-96.53
86.21,64.56,83.87
85.98,-29.33,55.70
85.88,-22.92,163.44
85.80,-76.64,24.69
85.74,-49.31,6.42
85.29,-43.30,-11.22
85.12,67.24,-90.86
84.85,70.25,-73.42
84.72,9.17,15.21
84.69,-49.53,-60.44
84.51,71.77,-129.64
84.46,-24.73,-65.38
84.46,-21.49,-49.34
84.42,-74.13,91.71
84.38,-71.16,70.92
84.28,-14.76,64.56
84.26,60.22,-96.91
84.15,43.66,-121.83
84.06,-12.89,-72.89
83.97,61.66,172.29
83.95,-14.38,-129.16
83.85,-76.52,-17.44
83.84,-40.75,-168.65
83.81,-40.42,43.37
83.71,47.06,-160.08
83.41,42.19,-141.93
83.25,-64.96,162.47
83.23,5.14,23.32
83.16,25.00,170.89
82.94,13.32,104.56
82.78,78.38,-26.82
82.72,-44.98,16.81
82.44,-34.78,23.46
82.12,-48.63,-177.88
82.08,-29.37,62.68
82.07,7.55,-167.28
82.05,-42.61,169.22
82.04,-6.87,140.70
81.98,34.42,56.66
81.89,43.39,136.98
81.84,22.29,86.91
81.74,-39.28,-9.44
81.64,-30.17,174.01
81.30,-61.24,-170.21
81.13,-55.58,91.51
81.12,72.49,-44.98
81.05,-47.21,156.78
81.05,42.11,154.84
81.04,29.72,-3.99
80.43,24.59,152.25
80.41,18.07,92.62
80.40,-10.67,76.28
80.21,9.01,-100.64
79.94,20.57,117.79
79.85,-50.61,30.57
79.65,-30.60,5.13
79.64,-33.91,-12.74
79.58,-20.37,157.37
79.55,-59.92,46.63
79.27,-85.28,53.27
79.02,-15.26,46.02
78.92,-31.94,21.89
78.90,-42.75,41.84
78.78,10.79,-115.01
78.76,-18.37,84.27
78.75,88.63,24.40
78.67,-43.76,76.09
78.56,0.56,171.80
78.46,-6.14,-80.47
78.45,58.72,138.44
78.37,-50.49,-56.39
78.30,37.41,-118.90
78.08,-28.92,70.02
77.88,46.78,-103.73
77.67,-11.64,137.20
77.52,-79.42,111.17
77.47,36.93,-141.76
77.46,58.16,161.87
77.40,-1.99,155.12
77.30,-50.29,9.69
77.21,42.33,-103.44
77.05,-45.83,-20.76
77.03,-54.99,51.63
76.95,74.35,67.89
76.89,-47.84,13.86
76.84,-17.25,-123.89
76.83,50.09,-100.47
76.83,49.51,-84.56
76.79,47.41,-141.83
76.77,-13.40,151.84
76.33,-63.65,29.93
76.21,4.96,120.49
76.18,-3.33,-3.73
76.17,29.33,167.14
75.80,-24.91,177.34
75.72,38.04,118.69
75.70,-24.62,-154.86
75.46,-16.22,103.35
75.42,-47.19,6.54
75.29,47.01,-92.83
75.24,33.50,69.99
75.12,12.37,173.10
75.08,38.95,-114.63
74.91,-25.70,128.18
74.85,12.10,69.58
74.83,40.28,153.25
74.82,-67.94,-131.85
74.65,-47.67,168.70
74.65,49.28,160.27
74.57,4.49,102.80
74.36,19.38,-116.82
74.14,-81.77,85.60
73.94,-5.06,110.06
73.92,54.53,-176.77
73.77,8.63,89.50
73.66,-42.01,95.98
73.51,-45.41,63.27
73.47,57.13,-64.20
73.33,24.35,110.91
73.23,21.59,-122.05
73.04,-10.05,45.03
73.02,7.30,-76.14
72.99,39.63,-97.28
72.98,-42.29,-177.72
72.93,-25.77,-175.08
72.88,-9.48,145.20
72.79,-58.58,39.01
72.77,21.90,-175.29
72.38,-85.00,11.40
72.31,-74.82,-90.41
72.28,24.67,-161.73
72.23,-38.67,162.43
71.91,-13.50,-179.87
71.79,-37.02,26.43
71.78,-63.40,-45.16
71.66,-29.32,135.71
71.54,-32.49,54.14
71.44,72.22,-32.88
71.44,-41.54,50.98
71.40,16.93,99.38
71.38,22.05,-163.32
71.33,49.12,-121.14
71.20,-67.01,-45.48
71.01,38.17,-81.25
70.81,-37.10,47.17
70.66,-14.57,3.29
70.65,-8.61,41.25
70.61,-34.90,3.79
70.59,-28.03,3.29
70.56,-41.23,-33.52
70.41,-30.42,157.29
70.27,-28.46,-139.06
70.25,-55.50,-165.31
70.16,44.27,16.23
70.07,12.71,-86.52
70.03,14.72,-116.29
70.01,28.15,109.34
69.76,-5.60,164.70
69.59,24.18,79.05
69.40,-9.63,-133.78
69.31,-44.86,-139.89
69.30,-11.42,123.90
69.19,19.24,-83.31
69.06,87.04,-19.75
69.03,-42.45,8.75
69.03,25.45,131.85
68.90,20.99,99.02
68.89,-72.61,14.74
68.74,12.70,-152.33
68.71,66.97,-51.44
68.64,58.21,-102.22
68.63,-68.97,-108.53
68.62,57.14,146.65
68.54,-60.92,5.25
68.48,10.48,-13.77
68.42,-38.18,4.86
68.42,-26.75,100.66
68.40,26.66,30.50
68.37,14.78,-159.63
68.32,46.82,39.21
68.28,3.69,133.12
68.12,68.34,-156.66
68.08,19.56,158.34
67.94,-74.54,-7.68
67.91,14.43,118.85
67.84,-58.96,-48.68
67.79,-6.41,84.11
67.66,-40.82,130.68
67.58,26.43,89.36
67.57,75.91,-54.57
67.50,-46.98,150.51
67.50,-4.20,140.69
67.22,-50.48,-152.91
67.22,-23.68,1.08
66.94,-26.93,154.81
66.89,-28.22,-150.43
66.88,59.52,-105.30
66.80,-20.97,-155.05
66.78,45.15,72.98
66.74,10.07,149.98
66.62,-2.57,125.07
66.57,81.51,133.16
66.57,-69.33,-42.83
66.56,-31.76,-19.59
66.54,-49.60,48.48
66.53,25.57,115.01
66.39,10.40,-145.22
66.39,74.86,-169.50
66.38,20.86,174.82
66.28,-56.82,11.30
66.16,25.90,-134.67
65.94,12.11,125.53
65.87,-53.44,104.10
65.83,74.92,177.05
65.79,-41.07,-1.52
65.66,36.21,-147.36
65.59,-48.66,142.64
65.38,-23.85,157.93
65.31,-51.04,19.10
65.28,35.30,-159.51
65.11,78.90,-146.21
65.08,-28.48,-41.51
65.07,44.68,179.46
65.06,6.65,174.26
64.87,-39.48,-17.82
64.85,-30.48,47.95
64.80,66.35,-114.18
64.73,18.74,-107.80
64.65,-3.23,114.79
64.61,-8.22,-121.24
64.59,37.05,158.17
64.37,-60.17,-86.70
64.30,46.66,66.07
64.07,36.92,-115.28
63.98,-57.58,174.77
63.93,35.40,-105.92
63.90,-63.77,75.95
63.90,1.76,127.28
63.84,10.24,97.09
63.80,-6.97,-143.09
63.79,79.81,38.57
63.75,5.68,98.54
63.70,-35.78,-4.27
63.45,-38.31,79.65
63.44,-26.96,7.87
63.39,7.84,-164.89
63.29,2.71,135.45
63.28,-48.71,46.66
63.27,-31.89,68.39
63.23,-60.72,-164.85
63.23,60.32,-77.40
63.18,-61.38,-50.65
63.14,60.87,-121.71
63.12,-39.58,-118.20
63.04,-31.17,131.51
62.86,40.79,129.50
62.82,69.04,158.24
62.79,21.26,45.97
62.72,24.88,99.27
62.70,76.26,30.57
62.70,22.05,135.08
62.65,-12.97,-103.42
62.48,47.02,-175.73
62.45,25.44,103.79
62.45,-43.46,127.60
62.31,31.96,-136.28
62.24,-20.99,44.06
62.23,-13.87,13.91
62.17,-21.74,-132.37
62.14,-48.85,101.66
62.14,-20.34,139.93
62.13,-44.57,-170.80
61.93,22.63,-102.46
61.90,-17.25,-128.23
61.83,41.04,-78.08
61.75,18.32,-113.78
61.68,17.25,-158.37
61.67,3.79,-175.63
61.62,17.41,131.22
61.59,53.28,-127.98
61.56,9.44,103.26
61.53,-46.40,67.80
61.37,-39.37,0.78
61.34,63.79,-87.29
61.31,42.42,60.81
61.28,-40.02,145.04
61.27,-1.47,112.95
61.18,-54.60,6.09
60.92,62.60,-94.63
60.87,71.82,69.40
60.83,-28.81,-169.80
60.75,-11.57,-14.19
60.72,-20.75,-22.26
60.69,17.07,-84.45
60.58,32.19,167.45
60.46,41.98,-154.63
60.41,-58.83,96.04
60.16,-73.54,-171.57
59.98,19.35,-146.51
59.98,44.24,145.29
59.95,-43.56,-7.49
59.95,-9.58,134.66
59.90,-25.32,2.44
59.82,-46.92,-147.98
59.82,-81.35,112.69
59.69,72.20,-120.15
59.69,-34.09,-26.73
59.69,14.14,91.14
59.54,-56.46,71.38
59.44,-29.58,19.58
59.43,-62.59,-124.05
59.37,70.03,-99.22
59.35,5.10,-66.93
59.35,-46.64,129.59
59.32,-58.25,125.03
59.31,47.01,174.41
59.28,82.65,-81.22
59.25,-8.38,-17.33
59.25,23.39,-113.17
59.24,70.26,-146.54
59.17,51.17,-86.05
59.06,69.52,-51.23
58.92,-45.41,54.05
58.83,-10.47,-148.99
58.77,14.47,-11.32
58.52,-46.58,-10.74
58.38,-23.90,56.62
58.11,-1.33,9.99
57.95,41.29,-107.83
57.85,-44.75,-82.03
57.83,5.07,-0.21
57.80,44.17,162.69
57.75,-39.52,59.06
57.61,-0.28,-167.84
57.58,19.88,81.36
57.52,-48.32,135.95
57.51,-19.68,-176.78
57.45,-42.77,84.41
57.36,-24.92,-30.42
57.32,5.50,46.54
57.13,-53.29,177.89
57.06,82.08,-109.51
57.04,32.67,-81.96
57.03,29.24,-116.41
56.99,74.83,-117.45
56.88,40.25,4.64
56.87,41.34,-163.73
56.81,7.25,63.43
56.79,83.40,-94.63
56.75,45.16,-173.38
56.74,-26.33,117.71
56.73,80.00,-111.63
56.66,-51.95,113.30
56.55,-39.38,76.57
56.45,-64.57,11.34
56.36,-63.21,-142.51
56.26,-76.94,-163.33
56.25,7.02,107.01
56.25,14.24,153.95
56.21,-16.61,79.41
56.11,-17.42,-146.78
55.98,-32.48,-140.36
55.92,38.73,47.64
55.90,23.10,143.11
55.88,-14.13,111.87
55.79,-61.29,-91.24
55.76,-53.32,-151.96
55.66,-28.42,14.36
55.56,-52.06,-142.28
55.44,-61.36,88.18
55.39,-32.65,152.47
55.27,78.35,148.46
55.25,-16.77,133.60
55.22,41.40,-85.46
55.10,35.79,122.95
55.10,56.55,131.64
55.09,32.38,-139.21
55.05,-31.35,97.99
54.96,62.99,25.84
54.95,24.51,-89.85
54.93,77.73,14.13
54.88,-56.71,108.47
54.77,42.66,-135.30
54.72,61.94,54.42
54.70,-60.91,97.57
54.64,-22.01,-4.02
54.56,-43.38,-3.88
54.55,-40.34,88.91
54.51,55.50,-99.73
54.51,67.50,-4.62
54.45,-33.21,-156.15
54.41,49.38,143.00
54.37,33.88,1.21
54.36,31.11,56.39
54.33,-1.92,67.99
54.18,0.96,116.63
53.95,-28.74,166.86
53.90,-3.99,130.78
53.89,-24.84,-133.01
53.85,-39.96,-56.17
53.85,52.36,-88.11
53.83,25.36,-180.00
53.80,-14.52,-93.88
53.77,-15.37,92.38
53.76,-9.50,132.36
53.75,6.89,176.70
53.49,-38.04,19.96
53.47,-35.06,119.29
53.28,-9.96,-138.91
53.23,14.25,97.40
53.21,79.58,9.09
53.15,-36.49,6.48
53.08,-32.35,24.77
52.94,-81.07,135.77
52.88,-6.09,85.43
52.87,37.62,108.76
52.85,-60.41,153.50
52.77,33.20,114.40
52.66,37.25,-177.55
52.64,-24.63,-53.78
52.61,37.11,86.58
52.44,-68.88,90.71
52.15,-5.09,-147.15
52.11,-38.67,119.35
52.09,-19.45,89.80
52.03,-10.06,-172.23
51.99,-41.04,0.14
51.98,-19.85,-31.11
51.94,2.78,81.01
51.90,73.48,-10.17
51.87,52.68,175.92
51.83,45.01,51.57
51.82,-88.14,45.91
51.75,-39.06,-154.63
51.57,-30.31,-53.10
51.55,13.57,-96.18
51.49,-1.94,17.39
51.46,-56.15,-10.18
51.42,-87.45,-5.17
51.31,-38.90,17.68
51.31,54.04,-87.88
51.25,-2.45,0.73
51.24,-27.54,96.31
51.16,24.30,122.94
51.15,16.56,-72.72
51.11,31.37,-147.86
51.03,68.21,25.02
51.00,4.20,112.70
50.95,35.50,-122.72
50.87,14.73,-101.39
50.72,-39.06,-148.25
50.69,-18.08,28.82
50.68,18.34,168.40
50.66,4.51,60.96
50.66,-9.86,90.91
50.54,19.51,154.05
50.44,29.88,31.67
50.29,-1.54,94.86
50.20,45.75,88.68
50.16,-15.72,-170.86
50.14,1.67,-109.05
