Diameter (km),Latitude,Longitude
109.00,-47.52,37.71
109.00,-3.69,42.53
109.00,-70.80,346.73
108.19,-36.54,90.39
108.00,-56.75,142.96
107.85,-70.31,156.65
107.00,14.88,140.93
106.58,-8.44,33.00
106.00,48.25,141.09
106.00,-63.64,103.78
106.00,35.73,111.44
105.00,-26.49,242.18
105.00,48.34,33.59
105.00,-16.07,15.65
105.00,-21.35,16.16
104.00,-22.56,13.90
104.00,-2.05,82.37
104.00,-19.68,18.82
103.00,23.15,103.23
103.00,-37.68,28.22
102.00,-40.00,30.59
102.00,4.70,54.67
102.00,50.51,25.59
101.53,75.80,166.63
101.00,-45.92,20.17
101.00,-58.27,34.25
101.00,-21.80,157.18
101.00,-3.89,283.73
100.20,21.90,67.55
100.00,25.57,193.62
100.00,58.32,177.36
100.00,2.04,105.66
100.00,72.54,292.37
100.00,37.95,18.78
99.00,-76.88,138.68
98.00,3.47,294.68
97.00,3.89,148.90
97.00,15.79,266.28
96.00,-0.01,23.76
95.00,-13.83,72.70
95.00,-35.73,184.52
95.00,-36.41,318.82
95.00,-28.50,90.34
95.00,47.41,163.61
95.00,-19.12,63.33
95.00,-29.27,189.58
94.29,59.38,99.71
94.00,-49.50,145.37
94.00,-47.99,22.95
93.00,-54.96,114.99
93.00,71.93,138.45
93.00,-8.59,266.59
92.00,39.31,38.77
92.00,9.44,35.03
91.00,-2.55,6.27
90.00,26.82,51.61
89.00,14.83,112.55
88.00,10.61,21.49
88.00,-21.10,287.59
87.67,80.43,152.21
87.00,-75.34,333.34
87.00,-8.68,111.75
87.00,-29.13,44.85
86.00,2.92,14.05
85.00,-52.96,321.58
85.00,10.79,108.01
84.97,72.72,123.36
84.00,27.17,29.72
83.16,-81.26,185.29
83.00,1.36,21.76
83.00,30.95,176.30
83.00,-13.21,215.15
83.00,-62.99,20.34
82.00,-44.81,12.57
82.00,28.48,13.51
81.00,-33.95,347.46
81.00,76.90,290.84
80.00,-40.87,272.04
80.00,29.74,151.94
80.00,4.36,96.21
79.00,-4.72,180.22
79.00,-28.26,147.46
79.00,-16.13,168.34
79.00,39.57,250.29
79.00,13.49,63.21
78.00,-12.01,38.19
78.00,-63.62,148.90
77.31,-73.26,155.96
77.00,70.46,166.71
77.00,43.76,200.90
77.00,-45.26,225.26
76.00,-65.39,45.32
76.00,-73.49,110.08
75.93,73.11,113.99
75.00,-32.39,170.45
75.00,-9.40,12.13
75.00,-24.20,105.30
73.00,32.46,124.88
72.00,59.64,40.75
72.00,49.73,109.46
72.00,30.66,108.56
72.00,5.94,132.64
71.45,-72.76,184.84
71.00,52.49,111.70
70.67,-77.09,103.92
70.00,-71.42,68.39
70.00,66.36,100.01
70.00,-6.94,165.28
70.00,49.75,178.25
69.48,-75.96,168.26
69.00,-42.58,124.11
69.00,-77.96,71.17
69.00,58.82,199.59
68.00,38.39,127.06
68.00,-66.51,30.37
68.00,22.05,358.11
68.00,-33.22,79.29
67.00,10.62,144.67
67.00,-0.79,108.33
67.00,-3.99,56.03
67.00,-8.47,123.69
67.00,9.52,234.24
67.00,-87.36,6.99
67.00,-69.18,60.26
67.00,5.27,353.21
66.54,-79.24,51.26
66.00,42.70,179.89
66.00,-70.05,74.66
64.00,-68.19,206.99
64.00,-67.37,59.57
64.00,59.93,139.87
64.00,82.48,146.98
64.00,-10.70,265.88
64.00,71.96,177.97
64.00,7.65,326.84
64.00,41.40,111.64
63.00,43.48,20.22
62.00,-11.34,31.32
62.00,-86.63,290.38
61.00,-18.76,102.74
61.00,-83.55,240.65
61.00,5.56,117.53
60.46,75.02,62.83
60.00,-40.20,248.71
60.00,36.36,115.81
60.00,87.89,281.22
59.00,52.49,15.36
58.00,-54.58,37.24
58.00,87.73,170.90
58.00,-38.41,18.53
58.00,-35.49,281.15
57.00,40.48,207.18
57.00,-16.05,83.52
56.00,-70.34,358.41
56.00,-69.34,50.02
56.00,-42.57,151.32
54.00,37.08,127.34
54.00,-82.16,278.78
54.00,-82.74,269.53
54.00,-28.16,213.21
52.14,83.93,17.46
52.00,0.78,65.32
52.00,-25.21,156.10
51.97,-86.24,73.82
51.00,-73.36,214.46
51.00,68.47,178.33
50.00,-72.13,146.40
50.00,88.82,211.08
